,Код КПГЗ,Код ОКПД-2 (ОКПД2014)
303,02.17.04.03,18.13.10.000
304,02.17.06,22.29.25.000
305,02.18.01,43.11.10.000
306,03.01,86.10
307,03.01.03,86.22.19.000
308,03.01.03.01,86.21.10.130
309,03.01.03.02,86.22.19.000
310,03.07.01.03,37.00.11.150
311,03.14.03.01,65.12.21.000
312,01.01.01.05.02.04,08.93.10.120
313,01.24.99.07,13.92.13
314,02.13.99.05,69.10.15.000
315,03.01.04,86.22.19.000
316,03.01.04.01,86.22.19.000
317,03.01.05.03,86.90.14.000
318,03.01.06.01,86.90.14.000
319,03.01.06.03,86.90.14.000
320,03.01.07,86.22.19.000
321,03.01.09.03,86.22.19.000
322,03.01.99.01.04,86.90.15.000
323,03.02.07,88.99.19.000
324,03.03.14.01,85.23.11.000
325,03.05.06.02,56.10.19.119
326,03.06.01.01,71.12.20.190
327,03.06.01.01.01,71.12.20.190
328,03.07.06,33.12.29.900
329,01.01.01.18,10.89
330,01.11.02.08.01,25.99.21.130
331,01.11.03.01.01,25.94
332,01.19.02.14,14.19.11.110
333,01.20.03.03,22.22.19.000
334,01.20.06.04,22.29
335,02.05.02.01.03,41.20.40
336,02.05.02.10.05,41.20.40
337,03.06.01.01.02.05,71.12.20.190
338,03.06.01.01.02.06,71.12.20.190
339,03.06.01.01.02.07,71.12.20.190
340,03.06.01.01.03.02,71.12.20.190
341,03.06.01.01.03.04,71.12.20.190
342,03.06.01.01.06.03,71.12.20.190
343,03.06.01.01.07.07,71.12.20.190
344,03.06.01.01.08.02,71.12.20.190
345,03.06.01.01.13.03,71.12.20.190
346,03.36.01.01,96.01
347,01.20.03.04,22.29
348,01.15.05.01.05.01,22.29.25.000
349,03.06.01.01.13.04,71.12.20.190
350,03.06.01.01.14.04,71.12.20.190
351,03.06.01.01.15,71.12.20.190
352,03.06.01.01.15.03,71.12.20.190
353,03.06.01.01.16.03,71.12.20.190
354,03.06.01.01.17.01,71.12.20.190
355,03.06.01.01.19.02,71.12.20.190
356,03.06.01.01.20,71.12.20.190
357,03.06.01.01.20.02,71.12.20.190
358,03.06.01.01.20.13,71.12.20.190
359,03.06.01.01.20.14,71.12.20.190
360,03.06.01.02,71.12.20.190
361,03.06.01.03.02,71.12.20.190
362,03.06.01.03.04,71.12.20.190
363,03.06.01.03.06.02,71.12.20.190
364,03.06.01.03.06.06,71.12.20.190
365,03.06.01.03.07.01,71.12.20.190
366,01.20.06.04.01,22.29.23
367,01.20.07.10.01,22.29.2
368,03.31.02.02,77.33.12
369,01.15.01.01.04,17.12.14.120
370,01.15.01.03.01,17.12.14.120
371,03.06.01.03.08.07,71.12.20.190
372,03.06.01.03.08.08,71.12.20.190
373,03.06.01.03.11.03,71.12.20.190
374,03.06.01.03.13.05,71.12.20.190
375,03.06.01.03.15,71.12.20.190
376,03.06.01.03.17.04,71.12.20.190
377,03.06.01.03.18,71.12.20.190
378,03.06.01.03.19.01,71.12.20.190
379,03.06.01.03.20.01,71.12.20.190
380,03.06.01.03.20.05,71.12.20.190
381,03.06.01.04.01.09,71.12.20.190
382,03.06.01.04.02.03,71.12.20.190
383,03.06.01.04.03.05,71.12.20.190
384,03.06.01.04.03.06,71.12.20.190
385,03.06.01.04.04.03,71.12.20.190
386,01.15.05.04.06,25.99.23
387,01.15.03.10.01,22.29.25
388,03.06.01.04.05.03,71.12.20.190
389,03.06.01.04.06.10,71.12.20.190
390,03.06.01.04.07.04,71.12.20.190
391,03.06.01.04.07.07,71.12.20.190
392,03.06.01.04.08.03,71.12.20.190
393,03.06.01.04.08.07,71.12.20.190
394,03.06.01.04.11.01,71.12.20.190
395,03.06.01.04.13,71.12.20.190
396,03.06.01.04.13.03,71.12.20.190
397,03.06.01.04.14.05,71.12.20.190
398,03.06.01.04.18.04,71.12.20.190
399,03.06.01.04.21.01,71.12.20.190
400,03.06.01.04.22.01,71.12.20.190
401,03.06.01.05,71.12.20.190
402,03.06.01.05.01.04,71.12.20.190
403,03.06.01.05.01.05,71.12.20.190
404,03.06.01.05.01.08,71.12.20.190
405,03.06.01.05.02.01,71.12.20.190
406,03.06.01.05.02.04,71.12.20.190
407,03.06.01.05.04,71.12.20.190
408,03.06.01.05.04.02,71.12.20.190
409,03.06.01.05.05.02,71.12.20.190
410,03.06.01.05.06.03,71.12.20.190
411,03.06.01.05.06.04,71.12.20.190
412,03.06.01.05.07.05,71.12.20.190
413,03.06.01.05.07.06,71.12.20.190
414,03.06.01.05.08.05,71.12.20.190
415,03.06.01.05.10.03,71.12.20.190
416,03.06.01.05.14.07,71.12.20.190
417,03.06.01.05.15,71.12.20.190
418,03.06.01.05.18,71.12.20.190
419,03.06.01.05.18.01,71.12.20.190
420,03.06.01.05.20.05,71.12.20.190
421,03.06.01.05.20.07,71.12.20.190
422,03.06.01.05.20.12,71.12.20.190
423,03.06.01.05.22.04,71.12.20.190
424,03.06.01.05.23.01,71.12.20.190
425,03.06.01.05.23.04,71.12.20.190
426,03.06.03,71.12.20.190
427,03.06.04.01,71.12.20.190
428,01.13.14.01,26.20
429,03.06.04.03,71.12.20.190
430,03.06.04.03.02,71.12.20.190
431,03.06.04.05.01,71.12.20.190
432,03.06.04.06,71.12.20.190
433,03.06.04.06.05,71.12.20.190
434,03.06.04.06.06,71.12.20.190
435,03.06.04.07.04,71.12.20.190
436,03.06.04.08.04,71.12.20.190
437,03.06.04.09,71.12.20.190
438,03.06.04.11,71.12.20.190
